日期,产品,销售额,销量,成本,利润,部门,地区
2022-05-19,产品D,18400,189,9446,8954,销售部,西南
2022-05-20,产品E,47825,291,25819,22006,销售部,华中
2022-05-21,产品A,20222,235,10529,9693,销售部,华东
2022-05-22,产品B,42302,486,26046,16256,销售部,华北
2022-05-23,产品C,9646,241,6589,3057,销售部,华南
2022-05-24,产品D,23785,27,10231,13554,销售部,西南
2022-05-25,产品E,24777,93,13248,11529,销售部,华中
2022-05-26,产品A,30553,255,18213,12340,销售部,华东
2022-05-27,产品B,41701,97,24402,17299,销售部,华北
2022-05-28,产品C,33427,318,14368,19059,销售部,华南
2022-05-29,产品D,42395,186,29247,13148,销售部,西南
2022-05-30,产品E,16577,173,9200,7377,销售部,华中
2022-05-31,产品A,38388,305,21311,17077,销售部,华东
2022-06-01,产品B,28689,412,17372,11317,销售部,华北
2022-06-02,产品C,22341,284,10286,12055,销售部,华南
2022-06-03,产品D,47330,319,21342,25988,销售部,西南
2022-06-04,产品E,22271,43,9284,12987,销售部,华中
2022-06-05,产品A,35695,27,24052,11643,销售部,华东
2022-06-06,产品B,12673,423,5312,7361,销售部,华北
2022-06-07,产品C,26938,294,12555,14383,销售部,华南
2022-06-08,产品D,3663,388,1577,2086,销售部,西南
2022-06-09,产品E,4326,85,2906,1420,销售部,华中
2022-06-10,产品A,5763,91,2956,2807,销售部,华东
2022-06-11,产品B,12221,469,5180,7041,销售部,华北
2022-06-12,产品C,38860,400,26415,12445,销售部,华南
2022-06-13,产品D,14515,25,5959,8556,销售部,西南
2022-06-14,产品E,42213,197,27042,15171,销售部,华中
2022-06-15,产品A,44790,494,25136,19654,销售部,华东
2022-06-16,产品B,12593,317,7392,5201,销售部,华北
2022-06-17,产品C,6812,375,3357,3455,销售部,华南
2022-06-18,产品D,18143,136,10902,7241,销售部,西南
2022-06-19,产品E,30087,364,14751,15336,销售部,华中
2022-06-20,产品A,37591,237,23567,14024,销售部,华东
2022-06-21,产品B,28200,397,13190,15010,销售部,华北
2022-06-22,产品C,44964,430,31414,13550,销售部,华南
2022-06-23,产品D,23356,246,10379,12977,销售部,西南
2022-06-24,产品E,21698,496,10040,11658,销售部,华中
2022-06-25,产品A,36450,153,18318,18132,销售部,华东
2022-06-26,产品B,42214,77,27505,14709,销售部,华北
2022-06-27,产品C,32390,318,16045,16345,销售部,华南
2022-06-28,产品D,15635,405,8046,7589,销售部,西南
2022-06-29,产品E,25831,362,11004,14827,销售部,华中
2022-06-30,产品A,11763,334,7927,3836,销售部,华东
2022-07-01,产品B,12957,293,8407,4550,销售部,华北
2022-07-02,产品C,28105,375,12818,15287,销售部,华南
2022-07-03,产品D,32334,115,17668,14666,销售部,西南
2022-07-04,产品E,3637,84,2478,1159,销售部,华中
2022-07-05,产品A,36651,190,18312,18339,销售部,华东
2022-07-06,产品B,12831,114,8078,4753,销售部,华北
2022-07-07,产品C,26343,316,12155,14188,销售部,华南
2022-07-08,产品D,40288,152,25041,15247,销售部,西南
2022-07-09,产品E,9412,92,4448,4964,销售部,华中
2022-07-10,产品A,6515,13,4401,2114,销售部,华东
2022-07-11,产品B,46903,497,23528,23375,销售部,华北
2022-07-12,产品C,20403,107,13069,7334,销售部,华南
2022-07-13,产品D,28586,18,18891,9695,销售部,西南
2022-07-14,产品E,38521,436,26360,12161,销售部,华中
2022-07-15,产品A,28710,130,14293,14417,销售部,华东
2022-07-16,产品B,35765,269,19555,16210,销售部,华北
2022-07-17,产品C,38292,443,23844,14448,销售部,华南
2022-07-18,产品D,37175,85,17439,19736,销售部,西南
2022-07-19,产品E,20177,10,9087,11090,销售部,华中
2022-07-20,产品A,19799,260,8260,11539,销售部,华东
2022-07-21,产品B,41866,183,27853,14013,销售部,华北
2022-07-22,产品C,41870,99,24257,17613,销售部,华南
2022-07-23,产品D,23821,416,12525,11296,销售部,西南
2022-07-24,产品E,9624,68,5035,4589,销售部,华中
2022-07-25,产品A,19646,395,13363,6283,销售部,华东
2022-07-26,产品B,4815,256,3077,1738,销售部,华北
2022-07-27,产品C,42886,376,29750,13136,销售部,华南
2022-07-28,产品D,26650,308,14673,11977,销售部,西南
2022-07-29,产品E,12991,186,7991,5000,销售部,华中
2022-07-30,产品A,36919,194,23603,13316,销售部,华东
2022-07-31,产品B,8054,36,4325,3729,销售部,华北
2022-08-01,产品C,47015,487,24251,22764,销售部,华南
2022-08-02,产品D,4491,204,2735,1756,销售部,西南
2022-08-03,产品E,7997,123,5269,2728,销售部,华中
2022-08-04,产品A,39523,314,17127,22396,销售部,华东
2022-08-05,产品B,22972,321,14198,8774,销售部,华北
2022-08-06,产品C,24595,424,11466,13129,销售部,华南
2022-08-07,产品D,4317,446,1807,2510,销售部,西南
2022-08-08,产品E,44158,165,21788,22370,销售部,华中
2022-08-09,产品A,40828,472,22489,18339,销售部,华东
2022-08-10,产品B,27660,342,16464,11196,销售部,华北
2022-08-11,产品C,16761,215,7353,9408,销售部,华南
2022-08-12,产品D,34635,477,21959,12676,销售部,西南
2022-08-13,产品E,34132,309,15982,18150,销售部,华中
2022-08-14,产品A,7571,126,3784,3787,销售部,华东
2022-08-15,产品B,15017,334,6038,8979,销售部,华北
2022-08-16,产品C,20423,51,10186,10237,销售部,华南
2022-08-17,产品D,29902,462,15999,13903,销售部,西南
2022-08-18,产品E,14833,367,7499,7334,销售部,华中
2022-08-19,产品A,14439,188,8034,6405,销售部,华东
2022-08-20,产品B,18264,240,10789,7475,销售部,华北
2022-08-21,产品C,41660,58,16937,24723,销售部,华南
2022-08-22,产品D,46124,67,20309,25815,销售部,西南
2022-08-23,产品E,36294,317,21114,15180,销售部,华中
2022-08-24,产品A,31373,180,12804,18569,销售部,华东
2022-08-25,产品B,37323,315,15046,22277,销售部,华北
2022-08-26,产品C,15157,106,8647,6510,销售部,华南
2022-08-27,产品D,4626,442,3219,1407,销售部,西南
2022-08-28,产品E,16979,275,9387,7592,销售部,华中
2022-08-29,产品A,27424,394,17429,9995,销售部,华东
2022-08-30,产品B,44226,30,30233,13993,销售部,华北
2022-08-31,产品C,5175,321,3515,1660,销售部,华南
2022-09-01,产品D,4443,413,2506,1937,销售部,西南
2022-09-02,产品E,42115,14,18650,23465,销售部,华中
2022-09-03,产品A,47609,440,23079,24530,销售部,华东
2022-09-04,产品B,6724,28,3506,3218,销售部,华北
2022-09-05,产品C,48340,396,31236,17104,销售部,华南
2022-09-06,产品D,41162,242,21991,19171,销售部,西南
2022-09-07,产品E,26752,136,13571,13181,销售部,华中
2022-09-08,产品A,15390,477,7617,7773,销售部,华东
2022-09-09,产品B,31828,363,15626,16202,销售部,华北
2022-09-10,产品C,25502,377,17428,8074,销售部,华南
2022-09-11,产品D,39258,382,22426,16832,销售部,西南
2022-09-12,产品E,16958,210,6814,10144,销售部,华中
2022-09-13,产品A,11514,220,6953,4561,销售部,华东
2022-09-14,产品B,28765,200,16771,11994,销售部,华北
2022-09-15,产品C,17698,285,11264,6434,销售部,华南
2022-09-16,产品D,38146,440,21370,16776,销售部,西南
2022-09-17,产品E,32331,28,20043,12288,销售部,华中
2022-09-18,产品A,22969,382,15774,7195,销售部,华东
2022-09-19,产品B,25518,90,16963,8555,销售部,华北
2022-09-20,产品C,40335,438,16808,23527,销售部,华南
2022-09-21,产品D,8837,213,5775,3062,销售部,西南
2022-09-22,产品E,42266,161,25718,16548,销售部,华中
2022-09-23,产品A,22560,220,13161,9399,销售部,华东
2022-09-24,产品B,9720,295,6139,3581,销售部,华北
2022-09-25,产品C,29258,288,15078,14180,销售部,华南
2022-09-26,产品D,20790,297,11009,9781,销售部,西南
2022-09-27,产品E,48374,421,26376,21998,销售部,华中
2022-09-28,产品A,35812,428,20518,15294,销售部,华东
2022-09-29,产品B,37160,222,17365,19795,销售部,华北
2022-09-30,产品C,7784,19,3722,4062,销售部,华南
2022-10-01,产品D,35618,105,21174,14444,销售部,西南
2022-10-02,产品E,3939,351,2102,1837,销售部,华中
2022-10-03,产品A,17301,425,9885,7416,销售部,华东
2022-10-04,产品B,17378,176,11499,5879,销售部,华北
2022-10-05,产品C,30777,437,16466,14311,销售部,华南
2022-10-06,产品D,2502,263,1496,1006,销售部,西南
2022-10-07,产品E,22411,411,9847,12564,销售部,华中
2022-10-08,产品A,15266,402,10077,5189,销售部,华东
2022-10-09,产品B,32213,209,22227,9986,销售部,华北
2022-10-10,产品C,36362,91,17246,19116,销售部,华南
2022-10-11,产品D,10219,176,7050,3169,销售部,西南
2022-10-12,产品E,15744,421,7813,7931,销售部,华中
2022-10-13,产品A,7378,215,4473,2905,销售部,华东
2022-10-14,产品B,28926,313,17961,10965,销售部,华北
2022-10-15,产品C,28301,320,11738,16563,销售部,华南
2022-10-16,产品D,31936,10,19934,12002,销售部,西南
2022-10-17,产品E,6470,149,4429,2041,销售部,华中
2022-10-18,产品A,39507,187,15883,23624,销售部,华东
2022-10-19,产品B,7523,405,4169,3354,销售部,华北
2022-10-20,产品C,32169,83,17910,14259,销售部,华南
2022-10-21,产品D,14419,131,9169,5250,销售部,西南
2022-10-22,产品E,11566,327,4635,6931,销售部,华中
2022-10-23,产品A,7130,261,3666,3464,销售部,华东
2022-10-24,产品B,43982,128,17695,26287,销售部,华北
2022-10-25,产品C,49625,495,34536,15089,销售部,华南
2022-10-26,产品D,37018,391,19198,17820,销售部,西南
2022-10-27,产品E,45814,87,29524,16290,销售部,华中
2022-10-28,产品A,12620,425,5871,6749,销售部,华东
2022-10-29,产品B,19645,351,13476,6169,销售部,华北
2022-10-30,产品C,14890,341,8116,6774,销售部,华南
2022-10-31,产品D,47598,278,26818,20780,销售部,西南
2022-11-01,产品E,12267,147,5973,6294,销售部,华中
2022-11-02,产品A,38939,143,24457,14482,销售部,华东
2022-11-03,产品B,27569,402,12826,14743,销售部,华北
2022-11-04,产品C,44730,286,23137,21593,销售部,华南
2022-11-05,产品D,4587,161,3148,1439,销售部,西南
2022-11-06,产品E,24544,366,10318,14226,销售部,华中
2022-11-07,产品A,42269,300,20290,21979,销售部,华东
2022-11-08,产品B,24147,482,15292,8855,销售部,华北
2022-11-09,产品C,4395,311,2871,1524,销售部,华南
2022-11-10,产品D,46722,271,28321,18401,销售部,西南
2022-11-11,产品E,34122,346,20830,13292,销售部,华中
2022-11-12,产品A,4832,86,2525,2307,销售部,华东
2022-11-13,产品B,14107,357,8577,5530,销售部,华北
2022-11-14,产品C,44481,31,21850,22631,销售部,华南
2022-11-15,产品D,9418,453,5028,4390,销售部,西南
2022-11-16,产品E,15419,112,10734,4685,销售部,华中
2022-11-17,产品A,11024,322,6600,4424,销售部,华东
2022-11-18,产品B,8435,22,5689,2746,销售部,华北
2022-11-19,产品C,23880,66,14937,8943,销售部,华南
2022-11-20,产品D,4407,137,2125,2282,销售部,西南
2022-11-21,产品E,38122,385,19066,19056,销售部,华中
2022-11-22,产品A,11109,336,5024,6085,销售部,华东
2022-11-23,产品B,27505,371,16897,10608,销售部,华北
2022-11-24,产品C,8746,209,3569,5177,销售部,华南
2022-11-25,产品D,16596,336,8114,8482,销售部,西南
2022-11-26,产品E,34861,306,15247,19614,销售部,华中
2022-11-27,产品A,44539,450,18520,26019,销售部,华东
2022-11-28,产品B,15799,418,8945,6854,销售部,华北
2022-11-29,产品C,49784,54,32872,16912,销售部,华南
2022-11-30,产品D,41828,416,18064,23764,销售部,西南
2022-12-01,产品E,20073,223,11813,8260,销售部,华中
2022-12-02,产品A,20790,261,8557,12233,销售部,华东
2022-12-03,产品B,27183,174,17109,10074,销售部,华北
2022-12-04,产品C,39176,287,25152,14024,销售部,华南
2022-12-05,产品D,27756,496,17961,9795,销售部,西南
2022-12-06,产品E,10589,382,6987,3602,销售部,华中
2022-12-07,产品A,45786,488,22387,23399,销售部,华东
2022-12-08,产品B,31286,179,16569,14717,销售部,华北
2022-12-09,产品C,47379,91,22083,25296,销售部,华南
2022-12-10,产品D,27639,319,15906,11733,销售部,西南
2022-12-11,产品E,8777,165,4891,3886,销售部,华中
2022-12-12,产品A,19316,178,9274,10042,销售部,华东
2022-12-13,产品B,23340,384,12386,10954,销售部,华北
2022-12-14,产品C,20091,289,11912,8179,销售部,华南
2022-12-15,产品D,37701,323,22109,15592,销售部,西南
2022-12-16,产品E,11367,16,5009,6358,销售部,华中
2022-12-17,产品A,34332,196,17698,16634,销售部,华东
2022-12-18,产品B,21950,485,12799,9151,销售部,华北
2022-12-19,产品C,33991,163,18766,15225,销售部,华南
2022-12-20,产品D,19312,73,9318,9994,销售部,西南
2022-12-21,产品E,38500,188,20444,18056,销售部,华中
2022-12-22,产品A,48997,12,31197,17800,销售部,华东
2022-12-23,产品B,13316,381,7939,5377,销售部,华北
2022-12-24,产品C,2893,451,1222,1671,销售部,华南
2022-12-25,产品D,12232,30,6389,5843,销售部,西南
2022-12-26,产品E,18509,55,7523,10986,销售部,华中
2022-12-27,产品A,49291,468,29785,19506,销售部,华东
2022-12-28,产品B,27746,202,15378,12368,销售部,华北
2022-12-29,产品C,28938,168,13789,15149,销售部,华南
2022-12-30,产品D,36712,290,22964,13748,销售部,西南
2022-12-31,产品E,9787,460,4539,5248,销售部,华中
2022-01-01,产品A,13161,219,5518,7643,销售部,华东
2022-01-02,产品B,36775,467,15317,21458,销售部,华北
2022-01-03,产品C,2211,239,1500,711,销售部,华南
2022-01-04,产品D,15345,123,7572,7773,销售部,西南
2022-01-05,产品E,17885,94,7508,10377,销售部,华中
2022-01-06,产品A,16173,186,11229,4944,销售部,华东
2022-01-07,产品B,29036,227,17559,11477,销售部,华北
2022-01-08,产品C,4052,355,2490,1562,销售部,华南
2022-01-09,产品D,3283,35,1624,1659,销售部,西南
2022-01-10,产品E,31461,280,18771,12690,销售部,华中
2022-01-11,产品A,10472,153,6066,4406,销售部,华东
2022-01-12,产品B,26523,56,17697,8826,销售部,华北
2022-01-13,产品C,10079,217,5420,4659,销售部,华南
2022-01-14,产品D,17532,331,10540,6992,销售部,西南
2022-01-15,产品E,4749,99,2248,2501,销售部,华中
2022-01-16,产品A,25570,367,16662,8908,销售部,华东
2022-01-17,产品B,5551,273,2963,2588,销售部,华北
2022-01-18,产品C,16167,495,6960,9207,销售部,华南
2022-01-19,产品D,13658,456,5565,8093,销售部,西南
2022-01-20,产品E,29919,285,16581,13338,销售部,华中
2022-01-21,产品A,45333,40,26726,18607,销售部,华东
2022-01-22,产品B,49733,163,31129,18604,销售部,华北
2022-01-23,产品C,21981,89,14526,7455,销售部,华南
2022-01-24,产品D,24916,383,12964,11952,销售部,西南
2022-01-25,产品E,4815,102,1951,2864,销售部,华中
2022-01-26,产品A,38275,441,21886,16389,销售部,华东
2022-01-27,产品B,31733,382,15803,15930,销售部,华北
2022-01-28,产品C,22576,258,13069,9507,销售部,华南
2022-01-29,产品D,27572,99,14674,12898,销售部,西南
2022-01-30,产品E,39826,485,22869,16957,销售部,华中
2022-01-31,产品A,1726,230,1040,686,销售部,华东
2022-02-01,产品B,45678,51,23101,22577,销售部,华北
2022-02-02,产品C,2081,311,1023,1058,销售部,华南
2022-02-03,产品D,32816,382,19227,13589,销售部,西南
2022-02-04,产品E,16958,339,9392,7566,销售部,华中
2022-02-05,产品A,38528,191,19208,19320,销售部,华东
2022-02-06,产品B,31725,134,15757,15968,销售部,华北
2022-02-07,产品C,34332,75,14461,19871,销售部,华南
2022-02-08,产品D,14393,96,9251,5142,销售部,西南
2022-02-09,产品E,46717,302,25655,21062,销售部,华中
2022-02-10,产品A,22015,377,10786,11229,销售部,华东
2022-02-11,产品B,13224,218,7003,6221,销售部,华北
2022-02-12,产品C,31836,125,21845,9991,销售部,华南
2022-02-13,产品D,13392,268,8218,5174,销售部,西南
2022-02-14,产品E,10546,225,4963,5583,销售部,华中
2022-02-15,产品A,6611,310,4458,2153,销售部,华东
2022-02-16,产品B,6577,44,4556,2021,销售部,华北
2022-02-17,产品C,35275,473,16312,18963,销售部,华南
2022-02-18,产品D,35768,252,16806,18962,销售部,西南
2022-02-19,产品E,30583,280,18503,12080,销售部,华中
2022-02-20,产品A,47858,202,29980,17878,销售部,华东
2022-02-21,产品B,18706,334,9757,8949,销售部,华北
2022-02-22,产品C,19825,84,9668,10157,销售部,华南
2022-02-23,产品D,10318,306,5224,5094,销售部,西南
2022-02-24,产品E,16574,464,7884,8690,销售部,华中
2022-02-25,产品A,29930,213,14357,15573,销售部,华东
2022-02-26,产品B,12801,170,5517,7284,销售部,华北
2022-02-27,产品C,33334,11,22403,10931,销售部,华南
2022-02-28,产品D,11694,425,8074,3620,销售部,西南
2022-03-01,产品E,11737,126,8024,3713,销售部,华中
2022-03-02,产品A,6147,342,3014,3133,销售部,华东
2022-03-03,产品B,39967,44,19628,20339,销售部,华北
2022-03-04,产品C,19467,448,8398,11069,销售部,华南
2022-03-05,产品D,2849,92,1819,1030,销售部,西南
2022-03-06,产品E,47719,316,20953,26766,销售部,华中
2022-03-07,产品A,2132,381,1390,742,销售部,华东
2022-03-08,产品B,39563,77,26788,12775,销售部,华北
2022-03-09,产品C,8633,443,3775,4858,销售部,华南
2022-03-10,产品D,38777,31,18179,20598,销售部,西南
2022-03-11,产品E,47691,393,19858,27833,销售部,华中
2022-03-12,产品A,2582,48,1112,1470,销售部,华东
2022-03-13,产品B,9793,94,5183,4610,销售部,华北
2022-03-14,产品C,30883,168,13655,17228,销售部,华南
2022-03-15,产品D,40390,471,20296,20094,销售部,西南
2022-03-16,产品E,23259,185,14008,9251,销售部,华中
2022-03-17,产品A,24610,362,17120,7490,销售部,华东
2022-03-18,产品B,12110,451,5729,6381,销售部,华北
2022-03-19,产品C,11195,11,4837,6358,销售部,华南
2022-03-20,产品D,47202,238,30451,16751,销售部,西南
2022-03-21,产品E,21619,38,11437,10182,销售部,华中
2022-03-22,产品A,25310,21,12480,12830,销售部,华东
2022-03-23,产品B,9697,115,5185,4512,销售部,华北
2022-03-24,产品C,28818,346,19764,9054,销售部,华南
2022-03-25,产品D,21104,442,10042,11062,销售部,西南
2022-03-26,产品E,37963,155,18237,19726,销售部,华中
2022-03-27,产品A,32416,38,19123,13293,销售部,华东
2022-03-28,产品B,3509,418,1674,1835,销售部,华北
2022-03-29,产品C,15670,358,7676,7994,销售部,华南
2022-03-30,产品D,46809,450,20065,26744,销售部,西南
2022-03-31,产品E,1719,84,1023,696,销售部,华中
2022-04-01,产品A,32345,71,14626,17719,销售部,华东
2022-04-02,产品B,35917,438,20612,15305,销售部,华北
2022-04-03,产品C,32673,264,14807,17866,销售部,华南
2022-04-04,产品D,37975,482,24366,13609,销售部,西南
2022-04-05,产品E,16043,384,9607,6436,销售部,华中
2022-04-06,产品A,43075,61,29064,14011,销售部,华东
2022-04-07,产品B,30483,107,19464,11019,销售部,华北
2022-04-08,产品C,16733,78,11599,5134,销售部,华南
2022-04-09,产品D,44241,41,27442,16799,销售部,西南
2022-04-10,产品E,22058,39,10234,11824,销售部,华中
2022-04-11,产品A,26628,140,12278,14350,销售部,华东
2022-04-12,产品B,48356,295,20684,27672,销售部,华北
2022-04-13,产品C,13673,71,7187,6486,销售部,华南
2022-04-14,产品D,22059,34,13515,8544,销售部,西南
2022-04-15,产品E,16078,309,7095,8983,销售部,华中
2022-04-16,产品A,31337,454,13884,17453,销售部,华东
2022-04-17,产品B,25747,73,15917,9830,销售部,华北
2022-04-18,产品C,29718,139,14059,15659,销售部,华南
2022-04-19,产品D,9012,119,4911,4101,销售部,西南
2022-04-20,产品E,48915,339,30305,18610,销售部,华中
2022-04-21,产品A,43968,171,25993,17975,销售部,华东
2022-04-22,产品B,12334,264,6271,6063,销售部,华北
2022-04-23,产品C,41502,332,29004,12498,销售部,华南
2022-04-24,产品D,3073,322,1981,1092,销售部,西南
2022-04-25,产品E,18194,197,10527,7667,销售部,华中
2022-04-26,产品A,44723,493,25997,18726,销售部,华东
2022-04-27,产品B,40897,155,18129,22768,销售部,华北
2022-04-28,产品C,34383,445,13925,20458,销售部,华南
2022-04-29,产品D,41634,487,19295,22339,销售部,西南
2022-04-30,产品E,38755,39,21385,17370,销售部,华中
2022-05-01,产品A,22304,376,15343,6961,销售部,华东
2022-05-02,产品B,16635,497,10964,5671,销售部,华北
2022-05-03,产品C,22252,340,13990,8262,销售部,华南
2022-05-04,产品D,5423,220,2183,3240,销售部,西南
2022-05-05,产品E,41927,35,22245,19682,销售部,华中
2022-05-06,产品A,32826,393,15096,17730,销售部,华东
2022-05-07,产品B,44420,176,27714,16706,销售部,华北
2022-05-08,产品C,41736,476,27687,14049,销售部,华南
2022-05-09,产品D,41544,376,28859,12685,销售部,西南
2022-05-10,产品E,29185,361,13519,15666,销售部,华中
2022-05-11,产品A,47724,115,28081,19643,销售部,华东
2022-05-12,产品B,8856,291,5130,3726,销售部,华北
2022-05-13,产品C,36790,278,15037,21753,销售部,华南
2022-05-14,产品D,39506,288,16429,23077,销售部,西南
2022-05-15,产品E,13305,251,5544,7761,销售部,华中
2022-05-16,产品A,36983,214,25839,11144,销售部,华东
2022-05-17,产品B,21121,185,11527,9594,销售部,华北
2022-05-18,产品C,44429,395,29990,14439,销售部,华南
2022-05-19,产品D,28181,59,15086,13095,销售部,西南
2022-05-20,产品E,45247,155,26056,19191,销售部,华中
2022-05-21,产品A,14275,339,6059,8216,销售部,华东
2022-05-22,产品B,20641,79,13406,7235,销售部,华北
2022-05-23,产品C,16605,271,9067,7538,销售部,华南
2022-05-24,产品D,10867,108,6423,4444,销售部,西南
2022-05-25,产品E,6682,160,3587,3095,销售部,华中
2022-05-26,产品A,30799,443,20911,9888,销售部,华东
2022-05-27,产品B,46780,242,21261,25519,销售部,华北
2022-05-28,产品C,27120,88,14658,12462,销售部,华南
2022-05-29,产品D,40832,278,27768,13064,销售部,西南
2022-05-30,产品E,2209,43,966,1243,销售部,华中
2022-05-31,产品A,19562,499,13602,5960,销售部,华东
2022-06-01,产品B,44845,256,21777,23068,销售部,华北
2022-06-02,产品C,36312,412,15717,20595,销售部,华南
2022-06-03,产品D,5710,338,2583,3127,销售部,西南
2022-06-04,产品E,21612,332,10236,11376,销售部,华中
2022-06-05,产品A,7749,461,4905,2844,销售部,华东
2022-06-06,产品B,16450,101,9612,6838,销售部,华北
2022-06-07,产品C,39411,342,21784,17627,销售部,华南
2022-06-08,产品D,33463,441,15600,17863,销售部,西南
2022-06-09,产品E,34123,148,20658,13465,销售部,华中
2022-06-10,产品A,1028,428,607,421,销售部,华东
2022-06-11,产品B,44662,325,20635,24027,销售部,华北
2022-06-12,产品C,3024,308,1541,1483,销售部,华南
2022-06-13,产品D,14503,169,7287,7216,销售部,西南
2022-06-14,产品E,26345,161,10594,15751,销售部,华中
2022-06-15,产品A,2906,241,1290,1616,销售部,华东
2022-06-16,产品B,13031,290,5335,7696,销售部,华北
2022-06-17,产品C,35228,332,20781,14447,销售部,华南
2022-06-18,产品D,29561,402,17355,12206,销售部,西南
2022-06-19,产品E,30844,258,13408,17436,销售部,华中
2022-06-20,产品A,38146,371,16852,21294,销售部,华东
2022-06-21,产品B,4071,53,2219,1852,销售部,华北
2022-06-22,产品C,45460,26,30564,14896,销售部,华南
2022-06-23,产品D,36321,253,16877,19444,销售部,西南
2022-06-24,产品E,21710,213,10097,11613,销售部,华中
2022-06-25,产品A,19733,223,13624,6109,销售部,华东
2022-06-26,产品B,44076,402,30071,14005,销售部,华北
2022-06-27,产品C,6188,108,3528,2660,销售部,华南
2022-06-28,产品D,38825,225,26769,12056,销售部,西南
2022-06-29,产品E,37445,183,15168,22277,销售部,华中
2022-06-30,产品A,40131,453,16589,23542,销售部,华东
2022-07-01,产品B,47422,386,19168,28254,销售部,华北
2022-07-02,产品C,42576,36,28938,13638,销售部,华南
2022-07-03,产品D,34638,110,22403,12235,销售部,西南
2022-07-04,产品E,26988,189,15183,11805,销售部,华中
2022-07-05,产品A,30715,264,19824,10891,销售部,华东
2022-07-06,产品B,18043,34,9941,8102,销售部,华北
2022-07-07,产品C,10241,463,5090,5151,销售部,华南
2022-07-08,产品D,22826,234,12804,10022,销售部,西南
2022-07-09,产品E,5868,22,2722,3146,销售部,华中
2022-07-10,产品A,25111,418,10675,14436,销售部,华东
2022-07-11,产品B,43274,341,27208,16066,销售部,华北
2022-07-12,产品C,3017,287,1447,1570,销售部,华南
2022-07-13,产品D,5792,184,2524,3268,销售部,西南
2022-07-14,产品E,17251,318,11736,5515,销售部,华中
2022-07-15,产品A,29740,481,18453,11287,销售部,华东
2022-07-16,产品B,49288,209,27417,21871,销售部,华北
2022-07-17,产品C,1211,25,516,695,销售部,华南
2022-07-18,产品D,1331,214,873,458,销售部,西南
2022-07-19,产品E,23104,439,15601,7503,销售部,华中
2022-07-20,产品A,49893,225,21140,28753,销售部,华东
2022-07-21,产品B,37011,146,15935,21076,销售部,华北
2022-07-22,产品C,23998,393,14035,9963,销售部,华南
2022-07-23,产品D,15842,489,10086,5756,销售部,西南
2022-07-24,产品E,9995,328,4820,5175,销售部,华中
2022-07-25,产品A,16567,178,10419,6148,销售部,华东
2022-07-26,产品B,14265,314,7354,6911,销售部,华北
2022-07-27,产品C,30187,99,12477,17710,销售部,华南
2022-07-28,产品D,26103,236,11700,14403,销售部,西南
2022-07-29,产品E,23044,160,15115,7929,销售部,华中
2022-07-30,产品A,30774,442,13038,17736,销售部,华东
2022-07-31,产品B,25340,410,13743,11597,销售部,华北
2022-08-01,产品C,28626,474,14531,14095,销售部,华南
2022-08-02,产品D,5700,285,3279,2421,销售部,西南
2022-08-03,产品E,8860,368,4450,4410,销售部,华中
2022-08-04,产品A,3513,160,1762,1751,销售部,华东
2022-08-05,产品B,8910,497,4642,4268,销售部,华北
2022-08-06,产品C,10120,425,5541,4579,销售部,华南
2022-08-07,产品D,15352,28,7238,8114,销售部,西南
2022-08-08,产品E,42954,129,23450,19504,销售部,华中
2022-08-09,产品A,1595,418,689,906,销售部,华东
2022-08-10,产品B,21823,350,9424,12399,销售部,华北
2022-08-11,产品C,6519,227,2941,3578,销售部,华南
2022-08-12,产品D,38085,392,17638,20447,销售部,西南
2022-08-13,产品E,34798,281,23077,11721,销售部,华中
2022-08-14,产品A,11255,433,4778,6477,销售部,华东
2022-08-15,产品B,3850,250,2316,1534,销售部,华北
2022-08-16,产品C,41874,237,20243,21631,销售部,华南
2022-08-17,产品D,10503,306,5768,4735,销售部,西南
2022-08-18,产品E,39170,413,24258,14912,销售部,华中
2022-08-19,产品A,35440,101,21235,14205,销售部,华东
2022-08-20,产品B,49037,268,26812,22225,销售部,华北
2022-08-21,产品C,13390,490,8259,5131,销售部,华南
2022-08-22,产品D,43084,207,29087,13997,销售部,西南
2022-08-23,产品E,28566,472,15390,13176,销售部,华中
2022-08-24,产品A,10336,407,6253,4083,销售部,华东
2022-08-25,产品B,4782,311,3090,1692,销售部,华北
2022-08-26,产品C,25094,481,11460,13634,销售部,华南
2022-08-27,产品D,20049,233,9093,10956,销售部,西南
2022-08-28,产品E,15567,429,6609,8958,销售部,华中
2022-08-29,产品A,14335,118,8242,6093,销售部,华东
2022-08-30,产品B,13122,34,6514,6608,销售部,华北
2022-08-31,产品C,42297,375,20341,21956,销售部,华南
2022-09-01,产品D,27393,146,16371,11022,销售部,西南
2022-09-02,产品E,21799,337,10452,11347,销售部,华中
2022-09-03,产品A,6993,95,2906,4087,销售部,华东
2022-09-04,产品B,47314,456,30808,16506,销售部,华北
2022-09-05,产品C,45527,496,25172,20355,销售部,华南
2022-09-06,产品D,13886,412,6184,7702,销售部,西南
2022-09-07,产品E,30086,436,15427,14659,销售部,华中
2022-09-08,产品A,36278,38,20384,15894,销售部,华东
2022-09-09,产品B,4435,139,2599,1836,销售部,华北
2022-09-10,产品C,30059,223,20438,9621,销售部,华南
2022-09-11,产品D,33826,99,18937,14889,销售部,西南
2022-09-12,产品E,36739,203,15890,20849,销售部,华中
